DATETIME;USER;TAG;VALUE
2013-05-14@10:40:50;huri;LOGIN;
2013-05-14@10:43:54;huri;UPLOAD;"user huri upload file surat no agenda SM0020 file:M_S-223_WPB.1_PK.12_2013_269001.pdf"
2013-05-14@10:46:56;huri;"REKAM SK";"user huri rekam surat keluar tujuan 308152"
2013-05-14@10:47:23;huri;LOGOUT;
2013-05-14@10:47:29;kasi;LOGIN;
2013-05-14@10:47:51;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 46 nama file K_46_308152.docx"
2013-05-14@10:48:17;kasi;LOGOUT;
2013-05-14@10:48:21;kk;LOGIN;
2013-05-14@10:48:28;kk;LOGOUT;
2013-05-14@10:48:37;huri;LOGIN;
2013-05-14@10:49:01;huri;LOGOUT;
2013-05-14@10:49:05;kk;LOGIN;
2013-05-14@10:52:51;kk;LOGOUT;
2013-05-14@10:52:55;kasi;LOGIN;
2013-05-14@10:55:01;kasi;LOGOUT;
2013-05-14@10:55:05;admin;LOGIN;
2013-05-14@11:01:21;admin;LOGOUT;
2013-05-14@11:01:25;kk;LOGIN;
2013-05-14@11:02:42;kk;LOGOUT;
2013-05-14@12:02:14;kk;LOGIN;
2013-05-14@12:30:59;kk;LOGOUT;
2013-05-14@12:31:04;admin;LOGIN;
2013-05-14@12:32:53;admin;LOGOUT;
2013-05-14@19:19:09;kk;LOGIN;
2013-05-14@19:21:28;kk;LOGOUT;
2013-05-14@19:21:31;admin;LOGIN;
2013-05-14@22:32:21;admin;LOGOUT;
2013-05-14@22:32:28;kk;LOGIN;
2013-05-15@13:58:45;kk;LOGIN;
2013-05-15@15:22:44;kk;LOGOUT;
2013-05-15@15:22:49;admin;LOGIN;
2013-05-16@11:29:00;kk;LOGIN;
2013-05-16@20:42:22;kk;LOGOUT;
2013-05-16@20:42:24;admin;LOGIN;
2013-05-16@20:42:32;admin;LOGOUT;
2013-05-16@20:42:36;kk;LOGIN;
2013-05-17@14:30:04;kk;LOGIN;
2013-05-17@22:20:48;kk;LOGIN;
2013-05-17@22:43:32;kk;LOGOUT;
2013-05-17@22:43:36;admin;LOGIN;
2013-05-19@12:24:54;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-19@12:28:23;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-19@12:29:23;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-19@12:30:56;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0022"
2013-05-19@12:33:29;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-19@12:35:44;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0022"
2013-05-19@12:36:23;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0023"
2013-05-19@12:37:05;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0024"
2013-05-19@12:40:59;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-19@12:41:52;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-19@12:42:26;admin;LOGOUT;
2013-05-19@12:42:28;admin;LOGIN;
2013-05-19@12:42:48;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0022"
2013-05-20@17:59:28;admin;LOGOUT;
2013-05-20@17:59:42;admin;LOGIN;
2013-05-20@18:10:31;admin;LOGIN;
2013-05-20@18:12:44;admin;LOGOUT;
2013-05-20@18:13:01;mastri;LOGIN;
2013-05-20@18:13:48;mastri;LOGOUT;
2013-05-20@18:14:03;huri;LOGIN;
2013-05-20@18:18:55;huri;LOGOUT;
2013-05-20@18:19:11;admin;LOGIN;
2013-05-20@18:32:24;kk;LOGIN;
2013-05-20@18:32:37;kk;LOGOUT;
2013-05-20@18:32:39;admin;LOGIN;
2013-05-20@18:32:45;admin;LOGOUT;
2013-05-20@18:32:50;mastri;LOGIN;
2013-05-20@18:33:49;mastri;LOGOUT;
2013-05-20@18:33:52;admin;LOGIN;
2013-05-20@18:36:22;admin;LOGOUT;
2013-05-20@18:36:33;kasi;LOGIN;
2013-05-20@18:36:38;kasi;"CHANGE ROLE";"user kasi mengganti role/bagian ke 2/1"
2013-05-20@18:37:44;kasi;LOGOUT;
2013-05-20@18:37:46;admin;LOGIN;
2013-05-20@18:38:17;admin;LOGOUT;
2013-05-20@18:38:20;kasi;LOGIN;
2013-05-20@18:38:22;kasi;"CHANGE ROLE";"user kasi mengganti role/bagian ke 2/1"
2013-05-20@21:07:48;kasi;LOGIN;
2013-05-21@00:46:41;kasi;LOGOUT;
2013-05-21@00:48:08;admin;LOGIN;
2013-05-21@00:49:05;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-21@00:49:32;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0022"
2013-05-21@00:50:16;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0023"
2013-05-21@00:51:05;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0024"
2013-05-21@00:53:55;admin;LOGOUT;
2013-05-21@00:53:57;kasi;LOGIN;
2013-05-21@00:53:59;kasi;"CHANGE ROLE";"user kasi mengganti role/bagian ke 2/1"
2013-05-21@00:54:11;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda SM0020"
2013-05-21@00:55:07;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda SM0020"
2013-05-21@00:58:56;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda SM0020"
2013-05-21@01:05:06;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda SM0020"
2013-05-21@01:05:26;kasi;"DELETE SM";"user kasi menghapus surat masuk no agenda"
2013-05-21@01:05:52;kasi;LOGOUT;
2013-05-21@01:05:57;admin;LOGIN;
2013-05-21@01:07:26;admin;LOGOUT;
2013-05-21@01:07:32;huri;LOGIN;
2013-05-21@01:07:48;huri;LOGOUT;
2013-05-21@01:07:51;kk;LOGIN;
2013-05-21@01:08:14;kk;"REKAM DISPOSISI";"user kk rekam disposisi no agenda SM0017"
2013-05-21@01:09:06;kk;"REKAM DISPOSISI";"user kk rekam disposisi no agenda SM0016"
2013-05-21@01:10:28;kk;LOGOUT;
2013-05-21@01:10:33;kasi;LOGIN;
2013-05-21@01:10:52;kasi;"REKAM CATATAN KASI";"user kasi rekam catatan kasi no agenda SM0019"
2013-05-21@01:12:43;kasi;LOGOUT;
2013-05-21@01:12:46;admin;LOGIN;
2013-05-21@01:13:13;admin;LOGOUT;
2013-05-21@01:13:19;mastri;LOGIN;
2013-05-21@01:14:03;mastri;LOGOUT;
2013-05-21@01:14:07;admin;LOGIN;
2013-05-21@01:15:02;admin;LOGOUT;
2013-05-21@01:15:07;mastri;LOGIN;
2013-05-21@01:15:41;mastri;"REKAM REVISI";"user mastri rekam revisi surat keluar id 44 nama file K_44_260010_3.docx"
2013-05-21@01:18:35;mastri;"REKAM REVISI";"user mastri rekam revisi surat keluar id 44 nama file K_44_260010_4.docx"
2013-05-21@01:20:51;mastri;"REKAM REVISI";"user mastri rekam revisi surat keluar id 44 nama file K_44_260010_5.docx"
2013-05-21@01:22:25;mastri;"REKAM SK";"user mastri rekam surat keluar tujuan 260010"
2013-05-21@01:23:36;mastri;"REKAM SK";"user mastri rekam surat keluar tujuan 269001"
2013-05-21@01:24:17;mastri;"UBAH SK";"user mastri ubah surat keluar tujuan: 48 perihal:sdassdfsdfsafdsafas"
2013-05-21@01:26:26;mastri;"UBAH SK";"user mastri ubah surat keluar tujuan: 48 perihal:sdassdfsdfsafdsafas"
2013-05-21@01:26:52;mastri;LOGOUT;
2013-05-21@01:26:56;kasi;LOGIN;
2013-05-21@01:27:05;kasi;"HAPUS SK";"user kasi hapus surat keluar id 48"
2013-05-21@01:28:11;kasi;"HAPUS SK";"user kasi hapus surat keluar id 48"
2013-05-21@01:30:58;kasi;LOGOUT;
2013-05-21@01:31:03;mastri;LOGIN;
2013-05-21@01:32:49;mastri;LOGOUT;
2013-05-21@01:32:54;admin;LOGIN;
2013-05-21@04:54:01;mastri;LOGIN;
2013-05-21@05:40:13;mastri;LOGOUT;
2013-05-21@05:40:17;kk;LOGIN;
2013-05-21@05:42:41;kk;LOGOUT;
2013-05-21@05:42:45;admin;LOGIN;
2013-05-21@10:57:00;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0020"
2013-05-21@10:58:33;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-21@10:58:39;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-21@10:59:47;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-21@11:03:53;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0022"
2013-05-21@11:04:31;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0023"
2013-05-21@12:23:29;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0024"
2013-05-21@12:24:51;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0025"
2013-05-21@12:25:32;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0020"
2013-05-21@12:27:41;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0021"
2013-05-21@12:28:57;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0022"
2013-05-21@12:29:41;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0023"
2013-05-21@20:38:30;kasi;LOGIN;
2013-05-21@20:38:43;kasi;"CHANGE ROLE";"user kasi mengganti role/bagian ke 2/1"
2013-05-21@20:38:56;kasi;"REKAM SM";"user kasi rekam surat masuk agenda SM0023"
2013-05-21@20:39:36;kasi;"REKAM SM";"user kasi rekam surat masuk agenda SM0023"
